,Equal Weight,Regime-Based (B),Bayesian Momentum (B),BayesianRiskParity (B),Rule-Based Regime (NB),Classical Momentum (NB),Inverse Vol (NB),SPY Only,GLD Only,BTC-USD Only,TLT Only,GSG Only
2019-06-13,2.067559153078029,2.5029961654959996,5.15873449878941,1.4170729026197795,1.4948914081170457,5.4333654352019725,1.3243472339822382,1.4792743047081893,1.0284681440149572,12.885375744294992,1.0863364104039899,0.657420663207481
2019-06-14,2.0928430153944566,2.5287635280732745,5.3500930947122285,1.4217531643565013,1.5006520946120339,5.646164359589359,1.3287793570018271,1.4776388580476827,1.028143134784918,13.590407646285154,1.0890666478786832,0.6609292508349287
2019-06-17,2.1200819266279054,2.556258001669505,5.606771675781129,1.4249787373180007,1.5069247940580026,5.931462951513896,1.33168372410207,1.4782003393068266,1.0274930755713407,14.536116947938385,1.0909704683983759,0.656959687031258
2019-06-18,2.124520250766963,2.5659092310700378,5.515869323488194,1.4345777658624739,1.5149604252270044,5.828285545836645,1.3405663414665492,1.4935978783076291,1.0326791664345278,14.159164170477661,1.0964243588567943,0.6674294173558619
2019-06-19,2.137811997676974,2.5784634786796037,5.6040872885886674,1.439489250836096,1.5202881843394165,5.925890546367108,1.3454378479947122,1.4969654957831717,1.0389154858057192,14.455018261680829,1.0979974073491126,0.6678689175660721
2019-06-20,2.1746388249685515,2.6144600473754256,5.731334709827974,1.459172311868258,1.537382134494073,6.065512531837859,1.3650365325460725,1.5112003714881042,1.0647493198206996,14.845065192942721,1.1008927344520405,0.6826530849786159
2019-06-21,2.2013433395396618,2.6320888214848117,5.996747901493055,1.4595791861060359,1.536167020427563,6.362804300642132,1.366920663918991,1.509002348882838,1.0717912453875995,15.777195546156062,1.088730923147928,0.6857231934922944
2019-06-24,2.2477798827515625,2.673355457204544,6.378138584180714,1.4726252327882663,1.5532417201421258,6.788142248306479,1.3800273916306711,1.5071537232966536,1.0875911558434053,17.070402021658506,1.0968191412811885,0.6874792060361146
2019-06-25,2.2772329761180146,2.6949050975080855,6.718312742844997,1.474844084725675,1.557347316085498,7.169791709434841,1.3829424641203925,1.4922982234188944,1.0897002616497948,18.238451161603997,1.1002101449382218,0.6887966253040357
2019-06-26,2.3207527710662297,2.7277758626343616,7.244011310628826,1.476287778211864,1.5545158418942482,7.756686799315883,1.3843585544134955,1.4908089984755752,1.0796666789510854,20.041644199570783,1.0931464016736707,0.6979661627309054
2019-06-27,2.2547337013262725,2.6808479996840626,6.357336243540309,1.4736393382645578,1.550273516413508,6.752536875199858,1.3801442940113926,1.4960857765500344,1.0786105715619374,16.99892831203083,1.1008224610847124,0.6979661627309054
2019-06-28,2.298242217636931,2.717577656194161,6.912346506973036,1.4782570876561927,1.5580408118012086,7.365943372082527,1.3846670738106877,1.5037648147327922,1.081529686814527,18.76528887868835,1.1000771420437707,0.6877831362528065
2019-07-01,2.221285016626375,2.65707123132104,6.077949179351929,1.4670129888655374,1.5390914344715334,6.428943252450154,1.3723627813813715,1.5173550169887624,1.060375584664562,15.781121616037911,1.0975015998603472,0.690852651436172
2019-07-02,2.2331630663862145,2.6707443156321276,6.185567931792504,1.4749781758439016,1.5559931655442216,6.5472993177274805,1.3802201432923016,1.521301900260906,1.0827864249373564,16.103684485424303,1.1059339646085842,0.673496970932149
2019-07-03,2.2908098582408405,2.7237730512772997,6.634620480976448,1.4883695963568326,1.572362626760298,7.056696804648211,1.3932694911079586,1.5334161765716978,1.0845705350445982,17.745816213986007,1.1137901282132496,0.6804898574822298
2019-07-05,2.243287435323918,2.680766773204508,6.258575200469884,1.4757189683840746,1.552830244548418,6.618312807844482,1.38061015145469,1.5316709651211455,1.0724093960108494,16.224312587714152,1.098919431653029,0.6857412473071307
2019-07-08,2.2869967004350436,2.7139880156067964,6.710435514895393,1.4758423599760628,1.5571919602851036,7.138016786626955,1.3813092758367393,1.5232308556676146,1.0654887133172055,18.049901722403426,1.1004125211265223,0.6826592723839869
2019-07-09,2.3025205397581265,2.726403027740823,6.8102344975170945,1.4794506704292925,1.5606965773844477,7.2582470085361575,1.3851685719184519,1.5251284586048808,1.0692153896694638,18.46792469007597,1.0999968426462414,0.6870381319766738
2019-07-10,2.306333554657425,2.7309175949665385,6.668233658366364,1.4880025246546464,1.5635559608447804,7.088244827616843,1.3940419871990375,1.5323980878512813,1.0859637549580852,17.844609559736323,1.0939228582838252,0.7056722575427543
2019-07-11,2.2668504140510923,2.695321827707336,6.336493256380671,1.4772526476168075,1.547130753152448,6.708920626114187,1.3832511748903862,1.5359867792206148,1.0767553978951516,16.633238657686345,1.0792201318773633,0.7069884315160216
2019-07-12,2.29124550858013,2.722808582743853,6.527357854518131,1.4846237475878865,1.5546546135847803,6.918414016393516,1.3896679864812804,1.5428471626137914,1.0834692307590632,17.289798393258284,1.0804640250716075,0.7087427026552655
2019-07-15,2.2511330031490875,2.6802824013159716,6.14492723079268,1.4800945928067268,1.5488721400480694,6.491194553098565,1.3860603753392018,1.5433607113116865,1.0834692307590632,15.886883862523556,1.0866691441445495,0.6999054054964087
2019-07-16,2.1757876180281945,2.6030182224987746,5.530058423460883,1.4652821146261061,1.5282634909442085,5.799999452513246,1.371767102778582,1.5383750571069308,1.07426129691318,13.672622327822408,1.0834283697138083,0.6906232886569388
2019-07-17,2.189401644670273,2.610948539790284,5.626292286478398,1.4699487305837355,1.5383551948046315,5.906259866245311,1.3783116882995012,1.5278704745040343,1.091805309489415,13.980957446631136,1.0950645752760213,0.6826748796210483
2019-07-18,2.234514603789303,2.6578402396849348,5.942501558538979,1.4788317100061423,1.5541026467369798,6.267892481819478,1.3862129432682837,1.5334533138808375,1.1071115694916396,15.317810349121428,1.0951474482144907,0.6756141912972403
2019-07-19,2.222378779779052,2.6425984818696278,5.879200615231021,1.4710397372055544,1.5449231398709997,6.2005666317192345,1.3794399993290813,1.5249115127594723,1.090685446444076,15.121612763888264,1.092572446611979,0.6812971701244003
2019-07-22,2.2153956245279685,2.6363713577725254,5.824048009403986,1.4715470267468238,1.5456661138046806,6.137413685070668,1.379943274864756,1.528652618152283,1.0905231798292563,14.849762071359681,1.0946450416866322,0.6799789250976763
2019-07-23,2.1968170320112743,2.6227181974594465,5.6695161849062705,1.4707524537846977,1.5396691917370056,5.963846300546243,1.3775727905951658,1.5395440377093181,1.084341380414963,14.200709166793917,1.088654852134936,0.6839183122096723
2019-07-24,2.1965045888399284,2.6237683594998353,5.6479601323402004,1.4746709027176406,1.5450821079493178,5.938904838214421,1.3812072717944048,1.5467619106417358,1.0898427292550636,14.07270787968715,1.0933733305035305,0.6799561026685608
2019-07-25,2.192209663054288,2.617593094135616,5.670907970196297,1.4678473883707175,1.538028371547541,5.966468117719873,1.374805143757662,1.539355407193192,1.0821101654091123,14.21528722439824,1.0881341963760491,0.6777577214753606
2019-07-26,2.1950534430331228,2.6235704309085026,5.664139017428491,1.4723383731682849,1.5422950145781293,5.957411662809114,1.3785550669626907,1.5496349142666637,1.0838930277872625,14.155589282136397,1.0907025024288415,0.6777577214753606
2019-07-29,2.1845140241060728,2.6123154443270957,5.549017926232915,1.473962505529803,1.542154302731306,5.8272388490167675,1.3801943449313323,1.54680985903916,1.091087476692826,13.642795460281219,1.0910347796326478,0.6825692140016357
2019-07-30,2.192794796571895,2.619269684120704,5.581607029376016,1.4766136848352056,1.5452633837204999,5.863778617156393,1.3832612376474698,1.5430083639319156,1.0947310261050944,13.768732485223293,1.0936863688610665,0.6869446476539818
2019-07-31,2.2050308197350232,2.6240894791168254,5.719755082219325,1.4701659119711075,1.5454863223866138,6.019385821568712,1.379816447017819,1.5260345306839673,1.080280897427575,14.437553046157095,1.1024448789449381,0.6838651729866985
