,Equal Weight,Regime-Based (B),Bayesian Momentum (B),BayesianRiskParity (B),Rule-Based Regime (NB),Classical Momentum (NB),Inverse Vol (NB),SPY Only,GLD Only,BTC-USD Only,TLT Only,GSG Only
2024-03-27,113995.39825529084,110708.91527453612,122861.34545541387,108095.30157119149,110686.81277875809,125769.20019573435,109090.32532888174,110868.55826140362,106351.8717972526,147540.4958934813,96720.70440376888,109732.28515452011
2024-03-28,114922.39431584868,111472.53295812519,124328.01823188429,108778.3462966621,111429.36524212381,127501.01092937424,109781.57669816291,110847.37567409067,107715.03991339297,150254.82642497917,96638.9640786931,110882.3697631314
2024-04-01,114508.09303316237,111629.0481007395,123709.87267263072,108903.36549971362,111708.95307979705,126557.253184278,109703.7641216938,110654.34962549912,108809.02927837381,148023.5334329342,94820.5155226441,111683.69044716375
2024-04-02,113344.1317598584,111534.10233005241,120863.98416540063,109096.76887002678,111824.29197892715,122401.99097065473,109723.5055815866,109948.53447174588,110404.6388279849,138699.39719396766,94296.54972072515,112734.25523571996
2024-04-03,113917.39765361181,112094.64621131893,121638.38021916518,109621.86405695435,112377.46664871166,123250.80176151176,110230.56262965307,110069.24627510605,111368.92630412996,139826.1554611958,94276.03211606652,113585.46210887843
2024-04-04,114696.76148148555,112129.7160538727,122968.72050626551,109530.09256136375,111751.65261130717,125251.62508079657,110235.82325920535,108717.47101247708,110728.42002298002,145083.45988390868,94949.81509818479,114436.66895195823
2024-04-05,114847.45898451054,112608.66905263098,123177.49032551053,110050.44265699196,112980.08796866782,125278.26881670413,110733.5401518576,109847.34284820563,112607.41479672742,143655.02175808515,93618.94085401118,114787.93131045825
2024-04-08,116210.05076193997,113235.18980603438,125679.2116514958,110368.99944726724,113570.70646890358,128571.67641789002,111158.17500660727,109908.75053448482,113306.61321175251,151472.11690830125,93608.7134444827,114586.72081172885
2024-04-09,115633.79578638173,112843.22366693756,124086.10272575411,110376.9019246388,113743.28250521606,126540.98887915324,111236.12713447875,110035.82033528823,113927.76021587933,146107.91953107837,94475.43188070366,113982.04551918432
2024-04-10,115252.94343140695,112703.84198861638,124809.05385714323,109785.47405709722,112790.70939696052,127487.32688839272,110395.93695367551,108928.47829954,112844.4299123905,149138.0956881534,92393.71830433201,114483.50905499121
2024-04-11,115480.49508701416,112905.20142270142,124948.7351959754,110168.21792643316,114020.42566319168,127569.10549364137,110882.48398185174,109747.46722329997,115016.32779573198,148019.8906716155,91972.83847213455,113929.34930806786
2024-04-12,114030.89899999084,112071.90424379683,122115.68113631279,109502.34279090696,112494.49550212042,124213.21218325145,110023.6860452104,108222.04375756184,113483.4193822798,141840.21266970702,92463.10713377324,114029.8184110611
2024-04-15,112543.44292887037,111772.21441273254,119432.93587338846,109246.09538068307,112436.91914486067,120749.19710429426,109570.34228699973,106857.66330897175,115588.09513484716,133651.13214316897,91018.17623425413,114280.81582186412
2024-04-16,112476.7719576069,111677.07590625455,119667.13652450831,109047.51014983394,112395.86232429462,121083.45176887145,109387.91848093273,106662.61292117252,115729.25931848836,134461.31463781715,90412.05427396603,114079.62214168544
2024-04-17,111113.28202086934,110159.45383625638,116928.1099486722,108025.35221412657,111453.51474288318,118028.28377816445,108572.24068576563,106029.47827899021,114873.37983026386,129010.30869679157,91409.95264534002,112051.4788161046
2024-04-18,111817.50644559263,110503.89858165603,118638.21025434787,108080.84712498376,111788.72091068418,120175.34356357431,108667.15979654556,105811.067091221,115265.05632322503,133634.19324198956,90948.05879372939,112001.22868251336
2024-04-19,112067.84495182765,111013.41758880999,119110.7771356254,108397.60024233208,111815.22302856621,120631.78270493995,108820.90623960679,104883.4604619942,115625.44890062725,134328.4419691226,91275.11212152081,112902.03968742394
2024-04-22,112732.08477638838,111000.39423824275,121061.92625697127,108300.745506771,110828.69479052842,123156.8719672076,108657.8327454766,105844.91799698985,112733.34231238799,140484.8637261967,91121.40945771182,113052.67963710197
2024-04-23,112934.38766473962,111303.9753201235,120841.88129627571,108693.54845635375,111038.06870155792,122829.41019906748,109044.96809256553,107093.55706757207,112455.827697889,139577.27552472413,91152.10202815146,113703.98893902132
2024-04-24,111884.71293053449,110599.82706523637,118631.19564666085,108204.76548992042,110561.29519273285,120272.97259662884,108524.9805009922,107042.71078595846,112246.4548694416,135026.17682206066,90504.81061565096,113200.43517386091
2024-04-25,112024.34952469534,111096.00371969455,119086.3276996673,108496.64980337357,110687.15509021607,120699.83337120898,108643.11556860832,106635.29579322333,112913.84500923878,135455.73327177452,89867.81302800874,114101.23113267274
