,SPY,GLD,BTC-USD,TLT,GSG
2017-08-15,0.33084178778773327,0.25193392884110544,0.02490880693662164,0.2567814770283347,0.13553399940620495
2017-08-16,0.33413087230360067,0.2478409215388518,0.024735094103389303,0.2542929776656022,0.13900013438855605
2017-08-17,0.3366846099971359,0.2454095610497681,0.025019816308706262,0.25394292459668266,0.13894308804770705
2017-08-18,0.3121404669085447,0.255222304124678,0.02603988779883978,0.26293929423830587,0.1436580469296317
2017-08-21,0.3130402305364454,0.2564193276222627,0.026055717602409854,0.26534962532537115,0.13913509891351097
2017-08-22,0.31326081720543875,0.2540046835532949,0.026023782158585602,0.2632026142434735,0.14350810283920723
2017-08-23,0.3040724664531353,0.25940754931164733,0.026447205734075732,0.26414344507737386,0.14592933342376763
2017-08-24,0.3033511710577778,0.2601414678476575,0.026552425857981694,0.26341854881271404,0.14653638642386896
2017-08-25,0.30279732500979106,0.2604146143325803,0.026599070015295226,0.2626061294221296,0.14758286122020364
2017-08-28,0.3073427637822881,0.25838360653394815,0.02659430834852659,0.2605419341437963,0.14713738719144087
2017-08-29,0.3088154176634797,0.2468531137606483,0.026657921876550503,0.2701331962708262,0.1475403504284952
2017-08-30,0.30780176256897107,0.2457109038005925,0.026822382808844126,0.27200693053033526,0.14765802029125707
2017-08-31,0.30421853298177615,0.2507596985277076,0.02681754943397264,0.2716752270730573,0.14652899198348635
2017-09-01,0.304832041974548,0.2480483708420437,0.02736994283376441,0.27687590660890693,0.14287373774073694
2017-09-05,0.3052406254976013,0.25137909298651856,0.02736942767297545,0.27283898358735204,0.14317187025555259
2017-09-06,0.30680168478694625,0.2569955914704236,0.02693892556196819,0.26284476623714986,0.1464190319435122
2017-09-07,0.307723637090727,0.25672173022545747,0.027324828568116504,0.2615168930409082,0.14671291107479084
2017-09-08,0.31262371541032263,0.253609892958731,0.027565336316589518,0.25803456530065333,0.14816649001370347
2017-09-11,0.30667807448650614,0.25093867926705327,0.026992878330268335,0.2666799401873071,0.1487104277288652
2017-09-12,0.3059759194540928,0.24772992501814614,0.027859122415071352,0.2649667946964723,0.1534682384162175
2017-09-13,0.3058942620491854,0.24815867117208226,0.027920991616411543,0.263868912042746,0.15415716311957492
2017-09-14,0.31057442654151585,0.24697363811051803,0.027450181764983737,0.2615929598887414,0.1534087936942411
2017-09-15,0.31334086086354956,0.24476698446018283,0.024569385940849193,0.2632524396823545,0.1540703290530638
2017-09-18,0.31269665932183177,0.24258000432739188,0.023578120625319558,0.2629826343470907,0.1581625813783661
2017-09-19,0.31484003004050065,0.23948747399582382,0.023246402577949167,0.26313930897626525,0.159286784409461
2017-09-20,0.31489375645188866,0.2400334853671117,0.023175728875761043,0.26282543253769114,0.1590715967675474
2017-09-21,0.314644497699972,0.24069861994274486,0.023689034603450808,0.2635593579199765,0.1574084898338558
2017-09-22,0.317973945460616,0.2349141556496531,0.023127575090422965,0.267767939808224,0.15621638399108392
2017-09-25,0.3236070703990271,0.2321685317413416,0.022928438075016856,0.2656864847945131,0.15560947499010122
2017-09-26,0.33152578244178543,0.22749698789090989,0.02253794498670425,0.26614823792576503,0.15229104675483546
2017-09-27,0.33165396517954177,0.22178722979322676,0.02256097561998703,0.26624172806101803,0.15775610134622634
2017-09-28,0.3326599164526711,0.2317315311572314,0.022545946360480944,0.2533756955126717,0.15968691051694486
2017-09-29,0.3308444426302238,0.2305548146027798,0.02239280297153566,0.25117268272609955,0.16503525706936126
2017-10-02,0.33879438484942676,0.22573425775276768,0.022067457232841023,0.25159008490608026,0.16181381525888414
2017-10-03,0.3387908673030425,0.22672150823532808,0.021854500749844664,0.2515529384077461,0.16108018530403864
2017-10-04,0.338479402255661,0.226724311336996,0.022011926386272775,0.2515769886439693,0.16120737137710112
2017-10-05,0.33817929765075094,0.2261172842905571,0.021956682864196452,0.2512216838640565,0.162525051330439
2017-10-06,0.34074709813022586,0.2246123781962029,0.021940692638476585,0.2528264974194288,0.15987333361566605
2017-10-09,0.3418099701476173,0.22515671178819982,0.02206875959435694,0.2560650018108822,0.15489955665894362
2017-10-10,0.34254718490903463,0.2246109898535389,0.0219506983089384,0.2549179557221256,0.15597317120636234
2017-10-11,0.3429620736109461,0.2256787033890903,0.0220148228396311,0.2559078143468744,0.15343658581345804
2017-10-12,0.3407447835496866,0.2257946727883476,0.021910421173428264,0.25903972533825226,0.1525103971502852
2017-10-13,0.34261759353262117,0.22518883536291762,0.021426664834561442,0.2571320527774417,0.15363485349245803
2017-10-16,0.3439925377970275,0.2240557012437624,0.02328757419385684,0.25541271159978185,0.15325147516557142
2017-10-17,0.3421815991302101,0.22297914263774257,0.023369676536250893,0.2548957647292813,0.15657381696651532
2017-10-18,0.3427627515821268,0.22094770008877598,0.02336368787982207,0.25625037460482775,0.15667548584444738
2017-10-19,0.3390185511750959,0.21805478844476983,0.023385607362313002,0.26224849282792817,0.15729256018989313
2017-10-20,0.33836555608385127,0.21881622039604812,0.02338747949808028,0.2616877597548438,0.15774298426717656
2017-10-23,0.33940605784310185,0.21938942497028283,0.023661648101669926,0.2580027998045249,0.1595400692804204
2017-10-24,0.33590846503142724,0.22109045519908727,0.023644030520484284,0.25952849915652304,0.15982855009247826
2017-10-25,0.3375870222822526,0.22145632122600942,0.023410256274182945,0.25808314705645286,0.15946325316110216
2017-10-26,0.3328190605732325,0.22125475785302104,0.023582767605080192,0.259730414062626,0.16261299990604033
2017-10-27,0.3339248376678366,0.21915734740610815,0.023668505845920996,0.2599964912152928,0.16325281786484133
2017-10-30,0.32784246897436486,0.21888891616497144,0.023692987923087667,0.2652784422895596,0.16429718464801638
2017-10-31,0.32578842649413475,0.22178911641855825,0.023640162913970836,0.2640028039812267,0.16477949019210936
2017-11-01,0.32568340902193693,0.22106015356212008,0.024655245899222463,0.2639349777550307,0.1646662137616899
2017-11-02,0.326782526042868,0.22070425873040045,0.024568486475505198,0.2633110586506506,0.1646336701005758
